ID, Name, Org Name, Total Networks Searched, Time Frame, License Plate, Reason, Case #, Filters, Search Time, Search Type, Text Prompt, Moderation
ecee9759-6af0-4901-9583-d9015c7dbec7,Anthony Taylor,Cobb County GA PD,3,"05/19/2025, 02:30:37 AM UTC
05/19/2025, 04:30:37 AM UTC",,s51,,georgia,"05/19/2025, 04:06:31 AM UTC",search,,
3e336b98-bfd4-4768-8b14-36d03f7d4361,Justice Bailey,Cobb County GA PD,6801,"04/19/2025, 04:14:02 AM UTC
05/19/2025, 04:14:02 AM UTC",,Hit and Run,,texas,"05/19/2025, 04:14:08 AM UTC",lookup,,
2cbafa18-fb0e-4c0f-ba5e-c1c79f4b01d1,Pamela DeLaCruz,Cobb County GA PD,1706,"05/17/2025, 05:00:05 AM UTC
05/19/2025, 05:00:05 AM UTC",,84,,,"05/19/2025, 04:32:08 AM UTC",search,,
86d29cbd-e5b8-4d69-bd7d-c9f484624b73,Pamela DeLaCruz,Cobb County GA PD,1706,"05/17/2025, 05:00:46 AM UTC
05/19/2025, 05:00:46 AM UTC",,84,,,"05/19/2025, 04:32:48 AM UTC",search,,
c1754918-74c9-464f-8c66-186c1bc5ad94,Pamela DeLaCruz,Cobb County GA PD,1706,"05/17/2025, 05:00:58 AM UTC
05/19/2025, 05:00:58 AM UTC",,84,,mississippi,"05/19/2025, 04:34:00 AM UTC",search,,
f5b392aa-4dc2-473c-8783-e2667ce0ddfd,Jacob Cole,Cobb County GA PD,349,"04/20/2025, 10:35:00 AM UTC
05/20/2025, 01:04:00 AM UTC",,"Other image search from alerts page associated with Alert: Gold Infiniti M35 - Shoplifting Suspect Vehicle from 4/30/2025 - a BM passenger stole meat products from Walmart. Obtain your own PC to stop and identify occupants. Notify Det. Haas (770) 499-4477, kristen.haas@cobbcounty.org. DEC396 - 2025-05-19T05:58:57.392Z",,"Sedan, Infiniti, mississippi","05/19/2025, 05:59:08 AM UTC",search,,
68e68439-5d69-45ed-a500-7c3176db82ed,Cameron Roberts,Cobb County GA PD,3,"05/19/2025, 04:30:27 AM UTC
05/19/2025, 06:30:27 AM UTC",,99,,georgia,"05/19/2025, 06:05:06 AM UTC",search,,
3d3208b2-7b3d-40dc-a248-51569260c071,Cameron Roberts,Cobb County GA PD,1706,"05/18/2025, 06:30:32 PM UTC
05/19/2025, 06:30:32 AM UTC",,99,,,"05/19/2025, 06:05:40 AM UTC",search,,
440ebd2b-6ad9-452a-97e5-17e4d0abdba0,Cameron Roberts,Cobb County GA PD,1706,"05/17/2025, 06:30:39 AM UTC
05/19/2025, 06:30:39 AM UTC",,99,,,"05/19/2025, 06:05:42 AM UTC",search,,
9e893b6f-bbc3-467a-a114-784b3ac09bdd,CHRISTIAN MERRITT,Cobb County GA PD,3,"05/20/2025, 07:43:31 AM UTC
05/21/2025, 07:43:31 AM UTC",,Stolen,,"Pickup, Ford, white, georgia","05/21/2025, 07:43:32 AM UTC",search,,
03ca5e38-bdd8-4e59-9089-353a591cb0f3,CHRISTIAN MERRITT,Cobb County GA PD,3,"05/21/2025, 03:00:00 AM UTC
05/21/2025, 07:44:59 AM UTC",,Stolen,,"Pickup, Mazda, Ford, white, georgia","05/21/2025, 07:45:23 AM UTC",search,,
add93369-d762-4e40-86f1-5b8c301396f3,Joshua Wieder,Cobb County GA PD,1706,"05/19/2025, 10:00:37 AM UTC
05/19/2025, 10:00:37 PM UTC",,t99,,,"05/19/2025, 09:51:47 PM UTC",search,,
bd3b6571-75cb-413b-9cf3-04d971037d39,Stephen Myers,Cobb County GA PD,1706,"05/19/2025, 10:00:34 AM UTC
05/19/2025, 10:00:34 PM UTC",,t99,,,"05/19/2025, 09:53:37 PM UTC",search,,
58145cc7-cf95-4efa-aa20-4d8ac57bb57f,Stephen Myers,Cobb County GA PD,1706,"05/17/2025, 10:00:40 PM UTC
05/19/2025, 10:00:40 PM UTC",,t99,,,"05/19/2025, 09:53:43 PM UTC",search,,
45f951a2-4757-49c1-a2f8-dc4692322a76,KADEN BATZINGER,Cobb County GA PD,1831,"05/19/2025, 10:30:00 AM UTC
05/19/2025, 10:00:00 PM UTC",,23069730,,"Sedan, Dodge","05/19/2025, 10:00:10 PM UTC",search,,
c8c88dd8-4304-4a03-b086-3454ee473c0a,Shane Rockey,Cobb County GA PD,1706,"05/19/2025, 10:30:15 AM UTC
05/19/2025, 10:30:15 PM UTC",,t99,,,"05/19/2025, 10:00:17 PM UTC",search,,
59cd51cc-cf72-4a48-a8dc-c24bd15c22d8,Stephen Myers,Cobb County GA PD,1706,"05/18/2025, 10:30:55 PM UTC
05/19/2025, 10:30:55 PM UTC",,t99,,,"05/19/2025, 10:01:57 PM UTC",search,,
b5abae1e-b222-4a47-bf6d-08826c58b784,BEN KING,Cobb County GA PD,1831,"05/18/2025, 10:16:26 PM UTC
05/19/2025, 10:16:26 PM UTC",,25027255,,georgia,"05/19/2025, 10:16:27 PM UTC",search,,
e578381f-d09d-47bd-a26f-7fe649f8df47,William McMullan,Cobb County GA PD,1706,"05/07/2025, 09:30:04 AM UTC
05/19/2025, 09:30:04 PM UTC",,wno 855420,,,"05/19/2025, 10:25:33 PM UTC",search,,
f935dc65-e4b5-4631-a8bc-9054e1e89eb3,James Provost,Cobb County GA PD,1831,"04/19/2025, 10:28:20 PM UTC
05/19/2025, 10:28:20 PM UTC",,Oct-99,,,"05/19/2025, 10:28:23 PM UTC",lookup,,
d56a7601-8cf4-4c90-b2f3-a7ad70847abd,Nolan Moore,Cobb County GA PD,1831,"05/19/2025, 09:00:13 PM UTC
05/19/2025, 11:00:13 PM UTC",,person dead,,,"05/19/2025, 10:34:31 PM UTC",search,,
371c3fdc-d876-4554-9a32-467ec10ed469,Stephen Myers,Cobb County GA PD,1706,"05/19/2025, 11:00:35 AM UTC
05/19/2025, 11:00:35 PM UTC",,t99,,,"05/19/2025, 10:34:40 PM UTC",search,,
6ab08c08-2663-499b-b9b4-b25435ccb8e4,Stephen Myers,Cobb County GA PD,1706,"05/19/2025, 11:00:27 AM UTC
05/19/2025, 11:00:27 PM UTC",,t99,,,"05/19/2025, 10:35:30 PM UTC",search,,
04d4239c-9a0c-4942-aeca-043aefed2d89,Nolan Moore,Cobb County GA PD,1831,"05/19/2025, 09:00:13 PM UTC
05/19/2025, 11:00:13 PM UTC",,person dead,,oregon,"05/19/2025, 10:35:33 PM UTC",search,,
284f6cca-7b4a-48e5-a55b-eed547f1e398,Shane Rockey,Cobb County GA PD,1706,"05/19/2025, 11:00:31 AM UTC
05/19/2025, 11:00:31 PM UTC",,t99,,,"05/19/2025, 10:35:37 PM UTC",search,,
c4f76a67-1113-4f46-8a4c-0aae3a36f140,Nolan Moore,Cobb County GA PD,1831,"04/19/2025, 11:00:35 PM UTC
05/19/2025, 11:00:35 PM UTC",,person dead,,oregon,"05/19/2025, 10:35:43 PM UTC",search,,
34784ff5-ff32-49a5-805f-8eecd3375551,James Provost,Cobb County GA PD,1831,"04/19/2025, 10:46:36 PM UTC
05/19/2025, 10:46:36 PM UTC",,s43,,,"05/19/2025, 10:46:39 PM UTC",lookup,,
4b088b70-2a81-4770-861e-0f2adc0f14aa,James Provost,Cobb County GA PD,6807,"04/19/2025, 10:47:54 PM UTC
05/19/2025, 10:47:54 PM UTC",,s43,,,"05/19/2025, 10:48:18 PM UTC",lookup,,
6e15eb3d-325b-4431-89df-60cca99a81a3,James Provost,Cobb County GA PD,6807,"04/19/2025, 10:49:06 PM UTC
05/19/2025, 10:49:06 PM UTC",,s43,,,"05/19/2025, 10:49:15 PM UTC",lookup,,
